Histogram 
 val 30	 = 85
 val 31	 = 91
 val 32	 = 99
 val 33	 = 111
 val 34	 = 119
 val 35	 = 125
 val 36	 = 137
 val 37	 = 146
 val 38	 = 155
 val 39	 = 172
 val 40	 = 184
 val 41	 = 196
 val 42	 = 213
 val 43	 = 242
 val 44	 = 270
 val 45	 = 302
 val 46	 = 330
 val 47	 = 361
 val 48	 = 396
 val 49	 = 438
 val 50	 = 485
 val 51	 = 551
 val 52	 = 598
 val 53	 = 661
 val 54	 = 761
 val 55	 = 873
 val 56	 = 990
 val 57	 = 1134
 val 58	 = 1295
 val 59	 = 1474
 val 60	 = 1700
 val 61	 = 1909
 val 62	 = 2163
 val 63	 = 2405
 val 64	 = 2648
 val 65	 = 2883
 val 66	 = 3149
 val 67	 = 3415
 val 68	 = 3726
 val 69	 = 4032
 val 70	 = 4338
 val 71	 = 4666
 val 72	 = 4949
 val 73	 = 5261
 val 74	 = 5575
 val 75	 = 5875
 val 76	 = 6192
 val 77	 = 6509
 val 78	 = 6882
 val 79	 = 7253
 val 80	 = 7645
 val 81	 = 7997
 val 82	 = 8419
 val 83	 = 8796
 val 84	 = 9217
 val 85	 = 9689
 val 86	 = 10175
 val 87	 = 10689
 val 88	 = 11178
 val 89	 = 11697
 val 90	 = 12280
 val 91	 = 12877
 val 92	 = 13422
 val 93	 = 13976
 val 94	 = 14529
 val 95	 = 15057
 val 96	 = 15623
 val 97	 = 16188
 val 98	 = 16753
 val 99	 = 17329
 val 100	 = 17877
 val 101	 = 18441
 val 102	 = 18989
 val 103	 = 19567
 val 104	 = 20101
 val 105	 = 20661
 val 106	 = 21195
 val 107	 = 21803
 val 108	 = 22358
 val 109	 = 22853
 val 110	 = 23395
 val 111	 = 23896
 val 112	 = 24389
 val 113	 = 24864
 val 114	 = 25364
 val 115	 = 25856
 val 116	 = 26320
 val 117	 = 26796
 val 118	 = 27270
 val 119	 = 27710
 val 120	 = 28139
 val 121	 = 28571
 val 122	 = 29008
 val 123	 = 29417
 val 124	 = 29839
 val 125	 = 30309
 val 126	 = 30762
 val 127	 = 31326
 val 128	 = 31906
 val 129	 = 32724
 val 130	 = 33499
 val 131	 = 34459
 val 132	 = 35845
 val 133	 = 36806
 val 134	 = 37881
 val 135	 = 39019
 val 136	 = 40655
 val 137	 = 43080
 val 138	 = 45224
 val 139	 = 47607
 val 140	 = 49726
 val 141	 = 52078
 val 142	 = 54482
 val 143	 = 56597
 val 144	 = 58455
 val 145	 = 60267
 val 146	 = 61806
 val 147	 = 63232
 val 148	 = 64484
 val 149	 = 65704
 val 150	 = 66922
 val 151	 = 68078
 val 152	 = 69197
 val 153	 = 70318
 val 154	 = 71464
 val 155	 = 72622
 val 156	 = 73797
 val 157	 = 74957
 val 158	 = 76058
 val 159	 = 77136
 val 160	 = 78236
 val 161	 = 79315
 val 162	 = 80404
 val 163	 = 81526
